m,n,k,b,p,q,algo,lookahead,gflops
3072,1536,1536,256,2,2,p2p-i-la,1,78.129457
2048,2048,2048,256,2,2,p2p-i-la,1,76.310543
2048,2048,2048,256,2,2,p2p-i-la,1,75.862377
2048,2048,2048,256,2,2,p2p-i-la,1,77.644562
2048,2048,2048,256,2,2,p2p-i-la,1,77.921367
2048,2048,2048,256,2,2,p2p-i-la,1,75.960316
1536,3072,1536,256,2,2,p2p-i-la,1,73.890736
1536,3072,1536,256,2,2,p2p-i-la,1,75.111743
1536,3072,1536,256,2,2,p2p-i-la,1,76.079161
1536,3072,1536,256,2,2,p2p-i-la,1,73.678907
1536,3072,1536,256,2,2,p2p-i-la,1,74.027335
3072,1536,3072,256,2,2,bcast,0,80.785558
3072,1536,3072,256,2,2,bcast,0,81.063179
3072,1536,3072,256,2,2,bcast,0,80.667994
3072,1536,3072,256,2,2,bcast,0,80.334041
3072,1536,3072,256,2,2,bcast,0,81.345217
3072,1536,1536,256,2,2,p2p-i-la,2,76.147099
3072,1536,1536,256,2,2,p2p-i-la,2,78.595017
3072,1536,1536,256,2,2,p2p-i-la,2,76.929481
3072,1536,1536,256,2,2,p2p-i-la,2,77.320546
3072,1536,1536,256,2,2,p2p-i-la,2,76.427744
1536,3072,1536,256,2,2,p2p-i-la,2,72.679988
1536,3072,1536,256,2,2,p2p-i-la,2,76.201941
1536,3072,1536,256,2,2,p2p-i-la,2,74.273128
1536,3072,1536,256,2,2,p2p-i-la,2,75.779673
1536,3072,1536,256,2,2,p2p-i-la,2,74.081055
2048,2048,2048,256,2,2,p2p-i-la,2,75.030763
2048,2048,2048,256,2,2,p2p-i-la,2,74.934547
2048,2048,2048,256,2,2,p2p-i-la,2,76.347847
2048,2048,2048,256,2,2,p2p-i-la,2,78.016198
2048,2048,2048,256,2,2,p2p-i-la,2,76.898735
3072,1536,1536,256,2,2,p2p-i-la,3,76.486617
3072,1536,1536,256,2,2,p2p-i-la,3,78.479698
3072,1536,1536,256,2,2,p2p-i-la,3,79.376152
3072,1536,1536,256,2,2,p2p-i-la,3,76.550038
3072,1536,1536,256,2,2,p2p-i-la,3,78.064658
1536,3072,1536,256,2,2,p2p-i-la,3,74.073107
1536,3072,1536,256,2,2,p2p-i-la,3,73.503684
1536,3072,1536,256,2,2,p2p-i-la,3,73.795186
1536,3072,1536,256,2,2,p2p-i-la,3,72.741260
1536,3072,1536,256,2,2,p2p-i-la,3,72.570826
3072,1536,3072,256,2,2,p2p-i-la,1,78.600980
3072,1536,3072,256,2,2,p2p-i-la,1,80.072884
3072,1536,3072,256,2,2,p2p-i-la,1,79.388110
3072,1536,3072,256,2,2,p2p-i-la,1,79.407246
3072,1536,3072,256,2,2,p2p-i-la,1,79.126581
2048,2048,2048,256,2,2,p2p-i-la,3,74.859122
2048,2048,2048,256,2,2,p2p-i-la,3,77.890986
2048,2048,2048,256,2,2,p2p-i-la,3,76.777076
2048,2048,2048,256,2,2,p2p-i-la,3,76.210006
2048,2048,2048,256,2,2,p2p-i-la,3,74.772781
3072,1536,1536,256,2,2,p2p-i-la,4,75.042918
3072,1536,1536,256,2,2,p2p-i-la,4,75.911823
3072,1536,1536,256,2,2,p2p-i-la,4,77.836623
3072,1536,1536,256,2,2,p2p-i-la,4,76.884190
3072,1536,1536,256,2,2,p2p-i-la,4,75.560043
